> print(mu) # mean prediction
 [68,] 219.4475711
 [69,] 225.3431151
 [70,] 231.3061397
 [71,] 237.3366448
 [72,] 243.4346306
 [73,] 249.6000969
 [74,] 255.8330437
 [75,] 262.1334712
 [76,] 268.5013793
 [77,] 274.9367679
 [78,] 281.4396371
 [79,] 288.0099869
 [80,] 294.6478173
 [81,] 301.3531282
 [82,] 308.1259197
 [83,] 314.9661918
 [84,] 321.8739445
 [85,] 328.8491778
 [86,] 335.8918917
 [87,] 343.0020861
 [88,] 350.1797611
 [89,] 357.4249167
 [90,] 364.7375529
 [91,] 372.1176696
 [92,] 379.5652670
 [93,] 387.0803449
 [94,] 394.6629034
 [95,] 402.3129425
 [96,] 410.0304621
 [97,] 417.8154624
 [98,] 425.6679432
 [99,] 433.5879046
[100,] 441.5753466
[101,] 449.6302691
[102,] 457.7526723
[103,] 465.9425560
[104,] 474.1999203
[105,] 482.5247652
[106,] 490.9170906
[107,] 499.3768967
[108,] 507.9041833
